IPR020789	RNA polymerases, subunit N, zinc binding site  Biological Process	interpro	binding_site		PS01112	GO:0003677,GO:0003899,GO:0008270,GO:0006351
IPR020791	Leucine-tRNA ligase, archaeal  Biological Process	interpro	family		MF_00049_A	GO:0000166,GO:0004823,GO:0005524,GO:0006429,GO:0005737
IPR020998	Mediator of RNA polymerase II transcription subunit 3  Biological Process	interpro	family		PF11593	GO:0003712,GO:0006357,GO:0016592
IPR021281	Small nuclear RNA activating complex subunit 2  Biological Process	interpro	family		PTHR15132,PF11035	GO:0016251,GO:0009301
IPR022238	18S rRNA (guanine(1575)-N(7))-methyltransferase Bud23, C-terminal  Biological Process	interpro	domain		PF12589	GO:0016435,GO:0070476
IPR022380	Glutamyl-Q tRNA(Asp) synthetase  Biological Process	interpro	family		TIGR03838,MF_01428	GO:0000166,GO:0004812,GO:0008270,GO:0006400,GO:0006424
IPR022429	Alanine-tRNA ligase, archaea  Biological Process	interpro	family		TIGR03683,MF_00036_A	GO:0000166,GO:0006419,GO:0005737
IPR022450	tRNA N6-adenosine threonylcarbamoyltransferase, TsaD  Biological Process	interpro	family		TIGR03723,MF_01445	GO:0002949
IPR022496	tRNA threonylcarbamoyl adenosine modification protein TsaB  Biological Process	interpro	family		TIGR03725	GO:0002949
IPR022666	Large ribosomal subunit protein uL2, RNA-binding domain  Biological Process	interpro	domain		PF00181	GO:0003735,GO:0006412,GO:0005840
IPR022793	RNA polymerase I-specific transcription initiation factor Rrn10  Biological Process	interpro	family		PTHR28054,PF05234	GO:0006360
IPR022842	DNA-directed RNA polymerase subunit Rpo3/Rpb3/RPAC1  Biological Process	interpro	family		MF_00320	GO:0003899,GO:0006351
IPR022881	Ribosomal RNA large subunit methyltransferase, Cfr  Biological Process	interpro	family		SFLDF00296,TIGR04432,MF_01873	GO:0070475
IPR022905	DNA-directed RNA polymerase subunit Rpo11-like  Biological Process	interpro	family		MF_00261	GO:0003899,GO:0006351
IPR022908	tRNA(Phe) 7-((3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4))-methyltransferase  Biological Process	interpro	family		MF_00266	GO:0008175,GO:0030488,GO:0031591
IPR022918	Phenylalanine-tRNA ligase beta chain 2, archaeal type  Biological Process	interpro	family		MF_00284	GO:0004826,GO:0006432
IPR022968	16S/18S rRNA aminocarboxypropyltransferase Tsr3  Biological Process	interpro	family		MF_01116,PTHR20426	GO:0016740,GO:0106388,GO:0006364
IPR023032	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC  Biological Process	interpro	family		MF_01102	GO:0004808,GO:0008168,GO:0016645,GO:0008033
IPR023148	tRNA (guanine-N(1)-)-methyltransferase, C-terminal domain superfamily  Biological Process	interpro	homologous_superfamily		G3DSA:1.10.1270.20	GO:0052906,GO:0008033
IPR023267	RNA (C5-cytosine) methyltransferase  Biological Process	interpro	family		PR02008,PTHR22808,PTHR22807	GO:0008173,GO:0001510
IPR023464	DNA-directed RNA polymerase subunit Rpo12  Biological Process	interpro	family		MF_00615	GO:0003677,GO:0003899,GO:0006351
IPR023529	RNA chaperone ProQ  Biological Process	interpro	family		PTHR38106,MF_00749	GO:0003723,GO:0033592,GO:0034057,GO:0010608
IPR023539	Ribonuclease P, protein component 3, archaeal  Biological Process	interpro	family		MF_00756	GO:0004526,GO:0001682
IPR023678	Tyrosine-tRNA ligase, type 4  Biological Process	interpro	family		MF_02009	GO:0004831,GO:0005524,GO:0006437,GO:0005737
IPR023684	Tyrosine-tRNA ligase, type 3  Biological Process	interpro	family		MF_02008	GO:0004831,GO:0005524,GO:0006437,GO:0005737
IPR023716	Proline-tRNA ligase, class IIa, type 2  Biological Process	interpro	family		MF_01570	GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR023717	Prolyl-tRNA synthetase, class IIa, type 1  Biological Process	interpro	family		PIRSF001535,MF_01569	GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR023758	tRNA-modifying protein YgfZ  Biological Process	interpro	family		MF_01175	GO:0005542,GO:0009451
IPR023949	RNA polymerase-associated protein RapA  Biological Process	interpro	family		MF_01821	GO:0006355
IPR023993	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, archaea  Biological Process	interpro	family		TIGR03972,MF_01921	GO:0016829,GO:0051539,GO:0008033
IPR024661	DNA-directed RNA polymerase III, subunit Rpc31  Biological Process	interpro	family		PF11705,PIRSF000777,PTHR15367	GO:0006383
IPR024768	Meiosis regulator and mRNA stability factor 1  Biological Process	interpro	family		PTHR14379	GO:0010468,GO:0005777
IPR024913	tRNA(Ile2) 2-agmatinylcytidine synthetase TiaS  Biological Process	interpro	family		MF_01892	GO:0016879,GO:0002101
IPR024914	tRNA(Met) cytidine acetyltransferase TmcA  Biological Process	interpro	family		MF_01886	GO:0000049,GO:0051392,GO:0002101,GO:0051391
IPR024956	tRNAHis guanylyltransferase catalytic domain  Biological Process	interpro	domain		PF04446	GO:0000287,GO:0008193,GO:0006400
IPR025182	RNA polymerase-binding protein RbpA  Biological Process	interpro	family		MF_01483,PF13397	GO:0001000,GO:0045893
IPR025210	ATP25 mRNA stabilisation domain  Biological Process	interpro	domain		PF13929	GO:0048255
IPR025709	Leucyl-tRNA synthetase, editing domain  Biological Process	interpro	domain		PF13603	GO:0002161,GO:0006418
IPR025759	tRNA guanosine-2'-O-methyltransferase, Trm3  Biological Process	interpro	family		PS51623	GO:0016423,GO:0030488
IPR025792	tRNA (guanine(37)-N(1))-methyltransferase, eukaryotic  Biological Process	interpro	family		MF_03152	GO:0052906,GO:0030488
IPR025795	tRNA (uracil-5-)-methyltransferase  Biological Process	interpro	family		PS51622	GO:0030697,GO:0008033
IPR025812	tRNA methyltransferase 10 homolog C, TRM10-type domain  Biological Process	interpro	domain		cd18102	GO:0008033,GO:0005739
IPR026213	DNA-directed RNA polymerase II subunit GRINL1  Biological Process	interpro	family		PR02085,PF15328	GO:0003711,GO:0006368,GO:0005634
IPR026274	tRNA wybutosine synthesizing protein 2  Biological Process	interpro	family		PIRSF038972	GO:0008757,GO:0031591
IPR026326	Probable tRNA pseudouridine synthase B, archaeal  Biological Process	interpro	family		MF_01081	GO:0006396
IPR026610	3'-RNA ribose 2'-O-methyltransferase, Hen1  Biological Process	interpro	family		PTHR21404	GO:0008171,GO:0008173,GO:0001510
IPR026770	Ribonuclease kappa  Biological Process	interpro	family		PTHR31733	GO:0004521,GO:0090304
IPR027249	DNA-directed DNA/RNA polymerase mu  Biological Process	interpro	family		PIRSF501176	GO:0003887,GO:0006281,GO:0005634
IPR027492	Dual-specificity RNA methyltransferase RlmN  Biological Process	interpro	family		MF_01849,TIGR00048	GO:0030488,GO:0070475
IPR027499	Glutamyl-tRNA(Gln) amidotransferase subunit F, mitochondrial  Biological Process	interpro	family		MF_03151	GO:0050567,GO:0070681,GO:0005739,GO:0030956
IPR027513	RNA-splicing ligase RtcB homologue, eukaryotic  Biological Process	interpro	family		MF_03144	GO:0170057,GO:0006388,GO:0072669
IPR027521	U6 snRNA phosphodiesterase 1  Biological Process	interpro	family		PF09749,MF_03040,PTHR13522	GO:0004518,GO:0034477
IPR027652	Pre-mRNA-processing-splicing factor 8  Biological Process	interpro	family		PTHR11140	GO:0000398,GO:0005681
IPR027794	tRNase Z endonuclease  Biological Process	interpro	domain		PF13691	GO:0008033
IPR028211	Pre-mRNA-splicing factor Ntr2  Biological Process	interpro	family		PF15458	GO:0000390,GO:0071008
IPR028271	RNA guanine-N7 methyltransferase activating subunit  Biological Process	interpro	family		PTHR48168,PF15320	GO:0003723,GO:0106005,GO:0031533
IPR028363	DNA-directed RNA polymerase, subunit RPB6  Biological Process	interpro	family		PIRSF500154	GO:0003899,GO:0006351,GO:0005634,GO:0005665
IPR028589	AdoMet-dependent rRNA methyltransferase SPB1-like  Biological Process	interpro	family		MF_03163	GO:0008649,GO:0031167
IPR028590	tRNA (cytidine(32)/guanosine(34)-2-O)-methyltransferase TRM7  Biological Process	interpro	family		MF_03162	GO:0008175,GO:0008033
IPR028592	Queuine tRNA-ribosyltransferase accessory subunit QTRTD1  Biological Process	interpro	family		MF_03043	GO:0101030
IPR028617	RNA polymerase sigma factor FliA  Biological Process	interpro	family		MF_00962	GO:0003677,GO:0003899,GO:0016987,GO:0006352,GO:0006355
IPR028618	ATP-dependent RNA helicase DeaD  Biological Process	interpro	family		MF_00964	GO:0003724,GO:0000027,GO:0070417
IPR028619	ATP-dependent RNA helicase DbpA  Biological Process	interpro	family		MF_00965	GO:0003724,GO:0000027
IPR028621	ATP-dependent RNA helicase SrmB  Biological Process	interpro	family		MF_00967	GO:0003724,GO:0000027
IPR028622	ATP-dependent RNA helicase RhlE  Biological Process	interpro	family		MF_00968	GO:0003724,GO:0042255
IPR028630	RNA polymerase sigma factor RpoD  Biological Process	interpro	family		MF_00963	GO:0016987,GO:0006352
IPR028878	Ribonuclease E  Biological Process	interpro	family		MF_00970	GO:0008995,GO:0006396
IPR028883	tRNA-specific adenosine deaminase  Biological Process	interpro	family		MF_00972,PF14437	GO:0008251,GO:0002100
IPR028884	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit  Biological Process	interpro	family		MF_03056,PTHR16288	GO:0036265
IPR029138	snRNA-activating protein complex subunit 5  Biological Process	interpro	family		PTHR15333,PF15497	GO:0006366,GO:0006384,GO:0005634
IPR029757	DNA-directed RNA polymerase subunit delta  Biological Process	interpro	family		TIGR04567,MF_00357	GO:0006351,GO:0006355
IPR030666	tRNA isopentenyltransferase, eukaryotes  Biological Process	interpro	family		PIRSF039110	GO:0005524,GO:0052381,GO:0008033
IPR030854	Ribonuclease J, bacteria  Biological Process	interpro	family		PIRSF004803,MF_01491	GO:0004521,GO:0004534,GO:0008270,GO:0006396
IPR030867	tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase  Biological Process	interpro	family		MF_01922	GO:0016765,GO:0006400
IPR030880	DEAD-box ATP-dependent RNA helicase CshA  Biological Process	interpro	family		MF_01493	GO:0003724,GO:0005524,GO:0010501
IPR030881	DEAD-box ATP-dependent RNA helicase CshB  Biological Process	interpro	family		MF_01494	GO:0004386,GO:0009409
IPR031101	RNA polymerase-associated protein Ctr9  Biological Process	interpro	family		PTHR14027	GO:0006355
IPR031451	mRNA interferase toxin MqsR  Biological Process	interpro	family		cd12869,PF15723	GO:0009372,GO:0017148,GO:0044010
IPR032847	Pre-mRNA-processing factor 17  Biological Process	interpro	family		PTHR43979	GO:0000398,GO:0071013
IPR032860	RNA demethylase ALKBH5  Biological Process	interpro	family		PTHR32074	GO:0035515,GO:0006397
IPR032886	tRNA-dihydrouridine(16) synthase  Biological Process	interpro	family		MF_02043	GO:0017150,GO:0002943
IPR032887	tRNA-dihydrouridine synthase B  Biological Process	interpro	family		MF_02042	GO:0017150,GO:0002943
IPR033096	Zinc finger protein 638, RNA recognition motif 1/2  Biological Process	interpro	domain		cd12716	GO:0008380
IPR033110	ROD1, RNA recognition motif 4  Biological Process	interpro	domain		cd12703	GO:0003723,GO:0045595
IPR033244	Mediator of RNA polymerase II transcription subunit 32  Biological Process	interpro	family		PTHR35989	GO:0006355,GO:0009631,GO:0010150,GO:0048364,GO:0016592
IPR033503	Gawky, RNA recognition motif  Biological Process	interpro	domain		cd12435	GO:0035278
IPR033599	RNA polymerase I transcription initiation factor TAF1B/Rrn7  Biological Process	interpro	family		PTHR31576	GO:0001164,GO:0001188,GO:0006360,GO:0070860
IPR033671	tRNA (guanosine(18)-2'-O)-methyltransferase  Biological Process	interpro	family		cd18092,MF_02060,PTHR43453	GO:0008168,GO:0030488
IPR033688	RNA cytidine acetyltransferase NAT10  Biological Process	interpro	family		MF_03211	GO:0005524,GO:0008080,GO:0016072,GO:1904812
IPR033757	Pre-mRNA-splicing regulator WTAP  Biological Process	interpro	family		PF17098,PTHR15217	GO:0000381,GO:0016556,GO:0005634
IPR033759	Systemic RNA interference defective protein 5  Biological Process	interpro	family		PF17204	GO:0035194,GO:0050658,GO:0005770
IPR033910	Glutamyl-tRNA synthetase  Biological Process	interpro	domain		cd00808	GO:0008270,GO:0006424
IPR033911	Methioninyl-tRNA synthetase core domain  Biological Process	interpro	domain		cd00814,PR01041	GO:0004825,GO:0006431
IPR034392	TatSF1-like, RNA recognition motif 1  Biological Process	interpro	domain		cd12281	GO:0000398
IPR034456	Mediator of RNA polymerase II transcription subunit 28  Biological Process	interpro	family		PTHR39117	GO:0006355,GO:0016592
IPR034556	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase  Biological Process	interpro	family		SFLDF00284,PTHR13930	GO:0051539,GO:0008033
IPR034557	Threonylcarbamoyladenosine tRNA methylthiotransferase  Biological Process	interpro	family		SFLDF00295	GO:0035598,GO:0035600
IPR034673	Maternal embryonic leucine zipper kinase, catalytic domain  Biological Process	interpro	domain		cd14078	GO:0004674,GO:0006468
IPR034678	DNA-directed RNA polymerase subunit RpoC1  Biological Process	interpro	family		MF_01323	GO:0003899,GO:0006351
IPR034680	tRNA N6-adenosine threonylcarbamoyltransferase Kae1, archaeal/eukaryotic  Biological Process	interpro	family		MF_01446	GO:0002949,GO:0000408
IPR034730	ATP-dependent RNA helicase DHX29  Biological Process	interpro	family		MF_03068	GO:0003724,GO:0006413
IPR034762	Bacterial/eukaryotic lysine-tRNA ligase, class II  Biological Process	interpro	family		PIRSF039101	GO:0004824,GO:0005524,GO:0006430
IPR035107	tRNA thiolation protein, TtcA/Ctu1 type  Biological Process	interpro	family		PIRSF004976	GO:0008033
IPR036025	tRNA-splicing ligase RtcB-like superfamily  Biological Process	interpro	homologous_superfamily		SSF103365,G3DSA:3.90.1860.10	GO:0008452,GO:0006396
IPR036113	Glu-tRNAGln amidotransferase superfamily, subunit C  Biological Process	interpro	homologous_superfamily		SSF141000	GO:0006450
IPR036167	tRNA intron endonuclease, catalytic domain-like superfamily  Biological Process	interpro	homologous_superfamily		SSF53032	GO:0006388
IPR036333	RNA synthesis protein NSP10 superfamily, coronavirus  Biological Process	interpro	homologous_superfamily		SSF144246	GO:0003723,GO:0008270,GO:0019079
IPR036343	Glutamyl-tRNA reductase, N-terminal domain superfamily  Biological Process	interpro	homologous_superfamily		G3DSA:3.30.460.30,SSF69742	GO:0008883,GO:0050661,GO:0033014
IPR036389	Ribonuclease III, endonuclease domain superfamily  Biological Process	interpro	homologous_superfamily		G3DSA:1.10.1520.10,SSF69065	GO:0004525,GO:0006396
IPR036453	Glutamyl tRNA-reductase dimerization domain superfamily  Biological Process	interpro	homologous_superfamily		SSF69075	GO:0008883,GO:0050661,GO:0033014
IPR036456	Polyribonucleotide nucleotidyltransferase, RNA-binding domain superfamily  Biological Process	interpro	homologous_superfamily		SSF46915	GO:0003723,GO:0006396
IPR036511	Queuine tRNA-ribosyltransferase-like  Biological Process	interpro	homologous_superfamily		G3DSA:3.20.20.105,SSF51713	GO:0006400
IPR036603	RNA polymerase, RBP11-like subunit  Biological Process	interpro	homologous_superfamily		G3DSA:3.30.1360.10,SSF55257	GO:0046983,GO:0006351
IPR036695	Arginyl tRNA synthetase N-terminal domain superfamily  Biological Process	interpro	homologous_superfamily		SSF55190,G3DSA:3.30.1360.70	GO:0000166,GO:0004814,GO:0005524,GO:0006420,GO:0005737
IPR036710	RNA polymerase Rpb5, N-terminal domain superfamily  Biological Process	interpro	homologous_superfamily		SSF53036,G3DSA:3.40.1340.10	GO:0003677,GO:0003899,GO:0006351
IPR036740	tRNA intron endonuclease, N-terminal domain superfamily  Biological Process	interpro	homologous_superfamily		SSF55267	GO:0000213,GO:0006388
IPR036980	Ribonuclease P/MRP subunit Rpp29 superfamily  Biological Process	interpro	homologous_superfamily		G3DSA:2.30.30.210	GO:0003723,GO:0008033,GO:0030677
IPR037027	YqgF/RNase H-like domain superfamily  Biological Process	interpro	homologous_superfamily		G3DSA:3.30.420.140	GO:0006139
IPR037033	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain superfamily  Biological Process	interpro	homologous_superfamily		G3DSA:2.40.270.10	GO:0003677,GO:0003899,GO:0006351
IPR037034	RNA polymerase Rpb2, domain 2 superfamily  Biological Process	interpro	homologous_superfamily		G3DSA:3.90.1110.10	GO:0003677,GO:0003899,GO:0006351
IPR037200	Pre-mRNA-splicing factor Isy1 superfamily  Biological Process	interpro	homologous_superfamily		SSF140102	GO:0000350
IPR037431	RNA exonuclease 4, DEDDh 3'-5' exonuclease domain  Biological Process	interpro	domain		cd06144	GO:0008408,GO:0006364
IPR037685	RNA polymerase RBP11  Biological Process	interpro	family		cd06926	GO:0001055,GO:0006366,GO:0005665
IPR037998	Maternal protein exuperantia  Biological Process	interpro	family		PTHR12384	GO:0003723,GO:0042803,GO:0045450
IPR038801	TATA box-binding protein-associated factor RNA polymerase I subunit C  Biological Process	interpro	family		PTHR15319	GO:0006360
IPR038836	Mediator of RNA polymerase II transcription subunit 16  Biological Process	interpro	family		PTHR35130	GO:0006355,GO:0016592
IPR038837	tRNA ligase 1  Biological Process	interpro	family		PTHR35460	GO:0003972,GO:0006388
IPR038846	DNA-directed RNA polymerase III subunit RPC9  Biological Process	interpro	family		PTHR15561	GO:0006384,GO:0005666
IPR038959	Pre-mRNA-processing factor 19  Biological Process	interpro	family		PTHR43995	GO:0061630,GO:0000398,GO:0006281,GO:0000974
IPR038993	Internal virion protein Gp15  Biological Process	interpro	family		MF_04122	GO:0039678
IPR038994	Internal virion protein Gp16  Biological Process	interpro	family		MF_04121	GO:0039678
IPR038996	Internal virion protein Gp14  Biological Process	interpro	family		MF_04118	GO:0039678
IPR039044	tRNA:m(4)X modification enzyme Trm13  Biological Process	interpro	family		PTHR12998	GO:0106050,GO:0030488
IPR039047	Phosphorylated adapter RNA export protein  Biological Process	interpro	family		PTHR13135	GO:0006408
IPR039177	Nonsense-mediated mRNA decay factor SMG9  Biological Process	interpro	family		PTHR14270	GO:0000184
IPR039495	TATA box-binding protein-associated factor RNA polymerase I subunit A  Biological Process	interpro	family		PF14929	GO:0006360,GO:0000120
IPR039601	RNA polymerase I-specific transcription initiation factor Rrn5  Biological Process	interpro	family		PTHR28079	GO:0042790,GO:0000500
IPR039638	Mediator of RNA polymerase II transcription subunit 33A/B  Biological Process	interpro	family		PTHR33739	GO:2000762,GO:0016592
IPR039722	Nonsense-mediated mRNA decay protein 3  Biological Process	interpro	family		PTHR13112	GO:0000184
IPR039726	Pre-mRNA-processing factor Prp40  Biological Process	interpro	family		PTHR11864	GO:0045292
IPR039754	Pre-rRNA-processing protein Esf1  Biological Process	interpro	family		PTHR12202	GO:0006364
IPR039762	Nonsense-mediated mRNA decay protein Nmd2/UPF2  Biological Process	interpro	family		PTHR12839	GO:0000184
IPR039769	18S rRNA (guanine(1575)-N(7))-methyltransferase Bud23-like  Biological Process	interpro	family		PTHR12734	GO:0016435,GO:0070476
IPR039913	RNA polymerase II-associated protein RPAP1/Rba50  Biological Process	interpro	family		PTHR21483	GO:0006366
IPR039974	Pre-mRNA-splicing factor SLU7  Biological Process	interpro	family		PTHR12942	GO:0030628,GO:0000398
IPR039979	Pre-mRNA-splicing factor 18  Biological Process	interpro	family		PTHR13007	GO:0008380
IPR040150	RNA polymerase II nuclear localization protein Iwr1  Biological Process	interpro	family		PTHR28063	GO:0006606
IPR040243	Steroid receptor RNA activator 1  Biological Process	interpro	family		PTHR18834	GO:0030374,GO:0006357
IPR040366	Nuclear polyadenylated RNA-binding protein Nab2/ZC3H14  Biological Process	interpro	family		PTHR14738	GO:0008143,GO:0043488
IPR041211	RNA ligase 1  Biological Process	interpro	family		PF17720,PTHR31219	GO:0003972,GO:0000302
IPR042376	Mediator of RNA polymerase II transcription subunit 26  Biological Process	interpro	family		PTHR15201	GO:0006357,GO:0016592
IPR042777	tRNA-splicing endonuclease subunit Sen15, fungi  Biological Process	interpro	family		PTHR28518	GO:0000379,GO:0000214
IPR042935	tRNA-specific adenosine deaminase 1  Biological Process	interpro	family		PTHR47803	GO:0008251,GO:0002100
IPR043675	tRNA 5-hydroxyuridine methyltransferase  Biological Process	interpro	family		MF_02217	GO:0008171,GO:0008033
IPR043699	tRNA (cytosine(72)-C(5))-methyltransferase  Biological Process	interpro	family		MF_02237	GO:0016428,GO:0006400
IPR044099	mRNA decapping enzyme 2 , NUDIX hydrolase domain  Biological Process	interpro	domain		cd03672	GO:0140933,GO:0000184,GO:0000290
IPR044263	RNA ligase 2, viral  Biological Process	interpro	family		MF_04150	GO:0003972,GO:0005524,GO:0042245
IPR044441	Dicer, double-stranded RNA-binding domain  Biological Process	interpro	domain		PF20932,cd10843	GO:0003723,GO:0030422,GO:0031054
IPR044442	RNase III, double-stranded RNA binding domain, animal  Biological Process	interpro	domain		cd19877	GO:0003723,GO:0031054
IPR044448	DND1, double-stranded RNA binding domain  Biological Process	interpro	domain		cd20313	GO:0003723,GO:0007281
IPR044449	Rnt1/Pac1, double-stranded RNA binding domain, fungi  Biological Process	interpro	domain		cd19876	GO:0003725,GO:0006364
IPR044514	Vernalization insensitive 3-like  Biological Process	interpro	family		PTHR46286	GO:0010048,GO:0040029
IPR044598	Zinc finger CCHC-type and RNA-binding motif-containing protein 1  Biological Process	interpro	family		PTHR46259	GO:0000398,GO:0005689
IPR044842	RNA demethylase ALKBH9B/ALKBH10B-like  Biological Process	interpro	family		PTHR31447	GO:0003729,GO:0032451,GO:0006402
IPR045024	Alternative NADH dehydrogenase  Biological Process	interpro	family		PTHR43706	GO:0003954,GO:0006116
IPR045060	Phenylalanine-tRNA ligase, class IIc, beta subunit  Biological Process	interpro	family		PTHR10947	GO:0004826,GO:0006432
IPR045075	Pre-mRNA-splicing factor Syf1-like  Biological Process	interpro	family		PTHR11246	GO:0000398
IPR045113	RNA polymerase subunit Rpb7-like  Biological Process	interpro	family		PTHR12709	GO:0006352
IPR045125	RNA polymerase II transcriptional coactivator Sub1/Tcp4-like  Biological Process	interpro	family		PTHR13215	GO:0003713,GO:0060261
IPR045152	Enhancer of mRNA-decapping protein 4-like  Biological Process	interpro	family		PTHR15598	GO:0031087
IPR045161	U3 small nucleolar RNA-associated protein 18  Biological Process	interpro	family		PTHR18359	GO:0006364
IPR045166	Pre-mRNA-splicing factor Spp2-like  Biological Process	interpro	family		PTHR15818	GO:0000398
IPR045209	rRNA biogenesis protein Rrp5  Biological Process	interpro	family		PTHR23270	GO:0006364
IPR045243	mRNA 3'-end-processing protein Rna14-like  Biological Process	interpro	family		PTHR19980	GO:0031124
IPR045245	Pre-mRNA 3' end processing protein Pfs2-like  Biological Process	interpro	family		PTHR22836	GO:0031124
IPR045844	Ist3-like, RNA recognition motif  Biological Process	interpro	domain		cd12411	GO:0003723,GO:0000398
IPR045867	DNA-directed RNA polymerase, subunit beta-prime  Biological Process	interpro	family		PTHR19376	GO:0003899,GO:0006351
IPR046351	U3 small nucleolar RNA-associated protein 4  Biological Process	interpro	family		PTHR44163	GO:0000462,GO:0030686
IPR046386	RNA polymerase sigma-like factor  Biological Process	interpro	family		MF_04164	GO:0003677,GO:2000142
IPR046399	DNA-directed RNA polymerase subunit Rpo7  Biological Process	interpro	family		MF_00865	GO:0006351,GO:0000428
IPR047131	RNA binding protein fox-1 homolog 1-like  Biological Process	interpro	family		PTHR15597	GO:0000381,GO:0007399
IPR047182	rRNA methyltransferase 1, mitochondrial  Biological Process	interpro	family		PTHR46103	GO:0031167
IPR047242	Pre-mRNA splicing factor component CDC5L/Cef1  Biological Process	interpro	family		PTHR45885	GO:0000398,GO:0000974
IPR047309	RNA-dependent RNA polymerase, bromovirus  Biological Process	interpro	domain		cd23252	GO:0039690
IPR053794	A-adding tRNA nucleotidyltransferase  Biological Process	interpro	family		NF041569	GO:0000049,GO:0008033
IPR053796	tRNA (guanine(6)-N2)-methyltransferase-like  Biological Process	interpro	family		NF040850	GO:0003723,GO:0008168,GO:0008033
IPR053846	Histidyl-tRNA synthetase HisZ, C-terminal domain  Biological Process	interpro	domain		PF21996	GO:0004821,GO:0006427
Accession	Name Cellular Process	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR001748	Pre-mRNA-splicing factor BUD31  Cellular Process	interpro	family		PF01125,PTHR19411,PR00322	GO:0005634
IPR002310	Glycine-tRNA ligase, alpha subunit  Cellular Process	interpro	family		cd00733,MF_00254,TIGR00388,PF02091,PR01044	GO:0000166,GO:0004820,GO:0005524,GO:0006426,GO:0005737
IPR002315	Glycyl-tRNA synthetase  Cellular Process	interpro	family		TIGR00389	GO:0000166,GO:0004820,GO:0005524,GO:0006426,GO:0005737
IPR002316	Proline-tRNA ligase, class IIa  Cellular Process	interpro	family		PR01046	GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR002318	Alanine-tRNA ligase, class IIc  Cellular Process	interpro	family		TIGR00344,PR00980	GO:0000166,GO:0005737
IPR002320	Threonine-tRNA ligase, class IIa  Cellular Process	interpro	family		MF_00184,TIGR00418,PR01047	GO:0004829,GO:0005524,GO:0006435,GO:0005737
IPR002343	Paraneoplastic encephalomyelitis antigen  Cellular Process	interpro	family		PR00961	GO:0003723,GO:1990904
IPR002463	Ornatin  Cellular Process	interpro	family		PF02088,PR01184	GO:0007155,GO:0030193,GO:0005576
IPR002759	RNase P subunit Pop5/Rpp14/Rnp2-like  Cellular Process	interpro	family		MF_00755,PF01900	GO:0001682,GO:0030677
IPR002845	tRNA ribose 2'-O-methyltransferase, aTrm56  Cellular Process	interpro	family		PTHR42197,MF_00077,PF01994,PIRSF016123	GO:0008175,GO:0002128,GO:0005737
IPR002904	Lysine-tRNA ligase  Cellular Process	interpro	family		PTHR37940,MF_00177,TIGR00467,PF01921	GO:0000166,GO:0004824,GO:0005524,GO:0006430,GO:0005737
IPR003138	Picornavirus coat protein VP4  Cellular Process	interpro	family		PF02226	GO:0005198,GO:0019028
IPR003182	RNA2 polyprotein  Cellular Process	interpro	family		PF02248	GO:0046740,GO:0019028,GO:0044219
IPR003682	rRNA small subunit methyltransferase G  Cellular Process	interpro	family		PTHR31760,MF_00074,PIRSF003078,TIGR00138,PF02527	GO:0008649,GO:0006364,GO:0005737
IPR003732	D-aminoacyl-tRNA deacylase DTD  Cellular Process	interpro	family		cd00563,MF_00518,PF02580,TIGR00256,PTHR10472	GO:0002161,GO:0051499,GO:0005737
IPR004188	Phenylalanine-tRNA ligase, class II, N-terminal  Cellular Process	interpro	domain		PF02912	GO:0000166,GO:0004826,GO:0005524,GO:0006432,GO:0005737
IPR004412	Glutamyl-tRNA(Gln) amidotransferase A subunit  Cellular Process	interpro	family		MF_00120,TIGR00132	GO:0050567,GO:0006412,GO:0030956
IPR004417	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO  Cellular Process	interpro	family		MF_01037,TIGR00137	GO:0047151,GO:0050660,GO:0008033,GO:0005737
IPR004499	Proline-tRNA ligase, class IIa, archaeal-type  Cellular Process	interpro	family		PTHR43382,MF_01571,TIGR00408	GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR004500	Prolyl-tRNA synthetase, class IIa, bacterial-type  Cellular Process	interpro	family		TIGR00409	GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR004503	Serine-tRNA ligase type 2, archaea  Cellular Process	interpro	family		MF_01278,TIGR00415	GO:0000166,GO:0004828,GO:0005524,GO:0006434,GO:0005737
IPR004514	Glutamine-tRNA synthetase  Cellular Process	interpro	family		TIGR00440	GO:0000166,GO:0004819,GO:0005524,GO:0006425,GO:0005737
IPR004516	Histidine-tRNA ligase/ATP phosphoribosyltransferase regulatory subunit  Cellular Process	interpro	family		PTHR43707,PIRSF001549	GO:0005737
IPR004523	Aspartate-tRNA synthetase, type 2  Cellular Process	interpro	family		MF_02075,PTHR43450,TIGR00458	GO:0000166,GO:0004815,GO:0005524,GO:0006422,GO:0005737
